timestamp_utc,signal_type,signal_text
2026-05-27T08:09:07.967060+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:14:07.847272+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:19:09.457179+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:24:11.681161+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:29:19.093564+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:34:19.721217+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:39:27.008998+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:44:28.771168+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:49:29.381640+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:54:33.946296+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:59:41.349995+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:04:45.066496+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:09:45.546416+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:14:46.350906+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:19:46.437960+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:24:46.995621+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:29:48.298641+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:34:52.136575+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:39:55.383186+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:45:00.721712+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:50:07.916636+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T09:55:08.421075+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:00:15.837297+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:05:15.712727+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:10:16.763047+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:15:19.787999+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:20:20.045442+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:25:27.245825+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:30:28.343767+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:35:28.490733+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:40:35.057722+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:45:37.434459+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:50:35.508361+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T10:55:37.563546+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:00:38.416247+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:05:43.329509+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:10:45.411778+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:15:48.207358+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:20:47.798594+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:25:52.395851+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:30:55.365889+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:36:03.181226+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:41:05.509884+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:46:13.120420+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:51:13.573659+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T11:56:14.531342+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T12:01:19.795330+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T12:06:20.837470+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T12:11:21.790182+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T12:16:28.184538+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T12:21:35.368199+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T12:26:40.928847+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T12:31:42.043752+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T12:36:43.795625+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
